"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"AARTIIND",1,457.18,417.4,457.18,417.4,-39.78,-8.7,-3.21,""
"V2RETAIL",320,217.37,196.8,69557,62976,-6581,-9.46,-0.1,""
"AAVAS",11,1233.18,1110.4,13565,12214.4,-1350.6,-9.96,-2.21,""
"ABCAPITAL",1,310.3,305.75,310.3,305.75,-4.55,-1.47,-2.84,""
"ABFRL",1103,70.93,57.05,78230.67,62926.15,-15304.52,-19.56,-3.06,""
"ADANIPORTS",1,1050.55,1337.8,1050.55,1337.8,287.25,27.34,-2.77,""
"ADFFOODS",1,282.65,157.89,282.65,157.89,-124.76,-44.14,-5.93,""
"ADOR",1,1231.85,916.7,1231.85,916.7,-315.15,-25.58,-2.22,""
"AGARWALEYE",72,454.14,409.5,32698.4,29484,-3214.4,-9.83,-1.61,""
"AHLUCONT",398,819.87,682.15,326307.2,271495.7,-54811.5,-16.8,-1.12,""
"AJMERA",100,167.85,104.04,16785,10404,-6381,-38.02,-4.89,""
"ALEMBICLTD",1,99.88,75.53,99.88,75.53,-24.35,-24.38,-4.74,""
"ALKYLAMINE",1,2400.5,1292.5,2400.5,1292.5,-1108,-46.16,-6.23,""
"ALLCARGO",4600,40.22,7.5,185004.2,34500,-150504.2,-81.35,-2.47,""
"AMBUJACEM",10,511.5,408,5115,4080,-1035,-20.23,-3.34,""
"ANANTRAJ",114,532.79,437.25,60738,49846.5,-10891.5,-17.93,-4.08,""
"ANMOL",1001,12.66,9.16,12671.81,9169.16,-3502.65,-27.64,-6.34,""
"ANURAS",11,1064.21,1220.35,11706.31,13423.85,1717.54,14.67,-3.69,""
"APCOTEXIND",1,503.3,331.2,503.3,331.2,-172.1,-34.19,-5.51,""
"APOLLOTYRE",1,491,411.65,491,411.65,-79.35,-16.16,-1.95,""
"ARIS",1,152,100,152,100,-52,-34.21,-3.85,""
"ARVIND",621,312.85,350.65,194280.05,217753.65,23473.6,12.08,-3.44,""
"ARVINDFASN",50,399.7,382.45,19985,19122.5,-862.5,-4.32,-4.38,""
"ASTERDM",1,334,668,334,668,334,100,2.45,""
"ASTRAL",132,1463.88,1619.1,193232.5,213721.2,20488.7,10.6,-1.67,""
"ASTRAMICRO",111,927.68,879.2,102973,97591.2,-5381.8,-5.23,-4.2,""
"ATL",51,44.39,20.07,2264,1023.57,-1240.43,-54.79,-6.52,""
"AURIONPRO",11,890.66,764.3,9797.25,8407.3,-1389.95,-14.19,-3.89,""
"AUROPHARMA",43,1113.02,1314.2,47859.8,56510.6,8650.8,18.08,0.49,""
"BANKBARODA",1,225,259.95,225,259.95,34.95,15.53,-4.68,""
"BANKINDIA",201,139.46,144.99,28031.15,29142.99,1111.84,3.97,-3.02,""
"BCG-BE",400,14.93,8.59,5972,3436,-2536,-42.46,0.23,""
"BCLIND",1,36.85,26.79,36.85,26.79,-10.06,-27.3,-3.77,""
"BEL",330,312.92,404.75,103265,133567.5,30302.5,29.34,-2.14,""
"BHARTIARTL",11,1800,1842.15,19800,20263.65,463.65,2.34,0.37,""
"BHEL",1,264.75,254.85,264.75,254.85,-9.9,-3.74,-2.75,""
"BIGBLOC",1105,96.44,42.21,106564.4,46642.05,-59922.35,-56.23,-9.32,""
"BIOCON",240,256.68,371.65,61604.3,89196,27591.7,44.79,-2.12,""
"BIRLACORPN",1,1170.1,871.7,1170.1,871.7,-298.4,-25.5,-3.27,""
"BLACKBUCK",41,620.07,595,25423,24395,-1028,-4.04,0.49,""
"BLUSPRING",1,175.01,51.31,175.01,51.31,-123.7,-70.68,-4.68,""
"BOMDYEING",1,136,97.95,136,97.95,-38.05,-27.98,-3.55,""
"BRIGADE",210,701.85,691.15,147387.75,145141.5,-2246.25,-1.52,3.03,""
"BSOFT",1,563.4,336.55,563.4,336.55,-226.85,-40.26,-3.4,""
"CAPACITE",1,312,212.7,312,212.7,-99.3,-31.83,-4.11,""
"CARTRADE",5,1760.1,1748,8800.5,8740,-60.5,-0.69,-0.12,""
